"Vary G2, G4, filament current, pulse duration and check ion signal peak and FWHM on FC",,,,,,,,
,,,,,,,,
Trace#.png,G2 volts,G2 on time,G4 [V],Ifil [mA],Vgauge [V],Pressure ,FC peak,FC FWHM
,V,s,V,V,V,[X1e-7 mbar],mV,us
0,-102,1,549,14.6,6.4,1.9,3.1,111
1,-102,1,549,14.6,6.6,2.9,4.1,121
2,-102,1,549,14.6,6.8,4.4,3.9,109
3,-102,1,549,14.6,6.4,1.9,3.6,121
4,-102,1,549,15,6.4,1.9,4.4,112
5,-102,1,549,15,6.6,2.9,5.1,113
6,-102,1,549,15,6.8,4.4,5.7,115
7,-102,1,549,15,7,6.7,5.6,112
-,-102,1,549,15,6.8,4.4,5.7,112
8,-102,1,549,15,6.8,4.4,5.4,111
9,-95,1,549,15,6.8,4.4,6.2,111
10,-90,1,549,15,6.8,4.4,6.6,112
11,-84.2,1,549,15,6.8,4.4,7.1,106
12,-84.2,1,557,15,6.8,4.4,6.8,107
13,-84.2,1,575,15,6.8,4.4,6.9,111
14,-84.2,1,517,15,6.8,4.4,6.9,111
15,-84.2,1,460,15,6.8,4.4,6.35,103
16,-84.2,1,548,15,6.8,4.4,6.55,-
17,-84.2,1,548,15.5,6.8,4.4,7.85,109
18,-84.2,1.2,548,15.5,6.8,4.4,8.2,103
19,-84.2,1.4,548,15.5,6.8,4.4,7.7,103
20,-84.2,0.5,548,15.5,6.8,4.4,7.65,111
21,-84.2,0.1,548,15.5,6.8,4.4,3.7,-
22,-84.2,1.2,548,16,6.8,4.4,8.2,-
23,-84.2,1.2,548,15.5,6.8,4.4,8.4,-
24,-84.2,1.2,548,15.5,6.8,4.4,6,-
